#Supplementary Table 6. All ENCODE profiles informations.				
Accession	Cell type / Tissue	Feature	Treatment	Download link
ENCFF514BGQ	H1-hESC	SIN3A	None	https://www.encodeproject.org/files/ENCFF514BGQ/@@download/ENCFF514BGQ.bed.gz
ENCFF991ZSC	K562	HNRNPUL1	None	https://www.encodeproject.org/files/ENCFF991ZSC/@@download/ENCFF991ZSC.bed.gz
ENCFF407IVS	H1-hESC	NRF1	None	https://www.encodeproject.org/files/ENCFF407IVS/@@download/ENCFF407IVS.bed.gz
ENCFF689LNQ	K562	HLTF	None	https://www.encodeproject.org/files/ENCFF689LNQ/@@download/ENCFF689LNQ.bed.gz
ENCFF504QZJ	HepG2	EZH2	None	https://www.encodeproject.org/files/ENCFF504QZJ/@@download/ENCFF504QZJ.bed.gz
ENCFF431GJK	K562	eGFP-NR2C1	None	https://www.encodeproject.org/files/ENCFF431GJK/@@download/ENCFF431GJK.bed.gz
ENCFF923CHO	GM12878	STAT3	None	https://www.encodeproject.org/files/ENCFF923CHO/@@download/ENCFF923CHO.bed.gz
ENCFF648HOK	K562	eGFP-ZKSCAN8	None	https://www.encodeproject.org/files/ENCFF648HOK/@@download/ENCFF648HOK.bed.gz
ENCFF156MIR	A549	POLR2AphosphoS2	None	https://www.encodeproject.org/files/ENCFF156MIR/@@download/ENCFF156MIR.bed.gz
ENCFF475BKX	GM12878	CHD7	None	https://www.encodeproject.org/files/ENCFF475BKX/@@download/ENCFF475BKX.bed.gz
ENCFF693RHV	H1-hESC	KDM6A	None	https://www.encodeproject.org/files/ENCFF693RHV/@@download/ENCFF693RHV.bed.gz
ENCFF668ZRO	HEK293	eGFP-ZBTB26	None	https://www.encodeproject.org/files/ENCFF668ZRO/@@download/ENCFF668ZRO.bed.gz
ENCFF825PWD	HEK293	eGFP-ZNF146	None	https://www.encodeproject.org/files/ENCFF825PWD/@@download/ENCFF825PWD.bed.gz
ENCFF083AZM	MCF-7	MTA3	None	https://www.encodeproject.org/files/ENCFF083AZM/@@download/ENCFF083AZM.bed.gz
ENCFF800CDQ	MCF-7	NONO	None	https://www.encodeproject.org/files/ENCFF800CDQ/@@download/ENCFF800CDQ.bed.gz
ENCFF215SIC	HCT116	ZFX	None	https://www.encodeproject.org/files/ENCFF215SIC/@@download/ENCFF215SIC.bed.gz
ENCFF886KDK	A549	TAF1	ethanol	https://www.encodeproject.org/files/ENCFF886KDK/@@download/ENCFF886KDK.bed.gz
ENCFF637WCT	T47D	ESR1	bisphenol A	https://www.encodeproject.org/files/ENCFF637WCT/@@download/ENCFF637WCT.bed.gz
ENCFF987YIJ	endothelial cell of umbilical vein	GATA2	None	https://www.encodeproject.org/files/ENCFF987YIJ/@@download/ENCFF987YIJ.bed.gz
ENCFF638WDU	K562	eGFP-ID3	None	https://www.encodeproject.org/files/ENCFF638WDU/@@download/ENCFF638WDU.bed.gz
ENCFF863WCN	K562	eGFP-IRF9	None	https://www.encodeproject.org/files/ENCFF863WCN/@@download/ENCFF863WCN.bed.gz
ENCFF247ULP	K562	eGFP-ZNF175	None	https://www.encodeproject.org/files/ENCFF247ULP/@@download/ENCFF247ULP.bed.gz
ENCFF481TNF	K562	SMARCA5	None	https://www.encodeproject.org/files/ENCFF481TNF/@@download/ENCFF481TNF.bed.gz
ENCFF549ODQ	H1-hESC	CHD1	None	https://www.encodeproject.org/files/ENCFF549ODQ/@@download/ENCFF549ODQ.bed.gz
ENCFF204VQS	K562	STAT2	interferon alpha	https://www.encodeproject.org/files/ENCFF204VQS/@@download/ENCFF204VQS.bed.gz
ENCFF354QYM	K562	eGFP-TFDP1	None	https://www.encodeproject.org/files/ENCFF354QYM/@@download/ENCFF354QYM.bed.gz
ENCFF423CTO	SK-N-SH	TAF1	None	https://www.encodeproject.org/files/ENCFF423CTO/@@download/ENCFF423CTO.bed.gz
ENCFF946SAG	GM12878	PAX5	None	https://www.encodeproject.org/files/ENCFF946SAG/@@download/ENCFF946SAG.bed.gz
ENCFF867WWZ	HEK293T	CTBP1	None	https://www.encodeproject.org/files/ENCFF867WWZ/@@download/ENCFF867WWZ.bed.gz
ENCFF714KXI	A549	NR3C1	dexamethasone	https://www.encodeproject.org/files/ENCFF714KXI/@@download/ENCFF714KXI.bed.gz
ENCFF483YCC	A549	SREBF2	None	https://www.encodeproject.org/files/ENCFF483YCC/@@download/ENCFF483YCC.bed.gz
ENCFF140PUO	HepG2	MAX	None	https://www.encodeproject.org/files/ENCFF140PUO/@@download/ENCFF140PUO.bed.gz
ENCFF794GVQ	H1-hESC	NANOG	None	https://www.encodeproject.org/files/ENCFF794GVQ/@@download/ENCFF794GVQ.bed.gz
ENCFF871LZM	GM12878	TARDBP	None	https://www.encodeproject.org/files/ENCFF871LZM/@@download/ENCFF871LZM.bed.gz
ENCFF897QCA	A549	RAD21	None	https://www.encodeproject.org/files/ENCFF897QCA/@@download/ENCFF897QCA.bed.gz
ENCFF641AXD	K562	TARDBP	None	https://www.encodeproject.org/files/ENCFF641AXD/@@download/ENCFF641AXD.bed.gz
ENCFF720MYN	HEK293	eGFP-ZFP41	None	https://www.encodeproject.org/files/ENCFF720MYN/@@download/ENCFF720MYN.bed.gz
ENCFF452YBB	HEK293	eGFP-GLIS1	None	https://www.encodeproject.org/files/ENCFF452YBB/@@download/ENCFF452YBB.bed.gz
ENCFF354EIQ	HEK293	eGFP-SP7	None	https://www.encodeproject.org/files/ENCFF354EIQ/@@download/ENCFF354EIQ.bed.gz
ENCFF468VJV	K562	eGFP-E2F5	None	https://www.encodeproject.org/files/ENCFF468VJV/@@download/ENCFF468VJV.bed.gz
ENCFF535BMV	K562	eGFP-GABPA	None	https://www.encodeproject.org/files/ENCFF535BMV/@@download/ENCFF535BMV.bed.gz
ENCFF567GON	IMR-90	BHLHE40	None	https://www.encodeproject.org/files/ENCFF567GON/@@download/ENCFF567GON.bed.gz
ENCFF208VCB	K562	eGFP-USF2	None	https://www.encodeproject.org/files/ENCFF208VCB/@@download/ENCFF208VCB.bed.gz
ENCFF868SWL	K562	TBL1XR1	None	https://www.encodeproject.org/files/ENCFF868SWL/@@download/ENCFF868SWL.bed.gz
ENCFF987VKU	HepG2	RCOR1	None	https://www.encodeproject.org/files/ENCFF987VKU/@@download/ENCFF987VKU.bed.gz
ENCFF996NBR	GM12878	RAD51	None	https://www.encodeproject.org/files/ENCFF996NBR/@@download/ENCFF996NBR.bed.gz
ENCFF419PEK	K562	CBFA2T2	None	https://www.encodeproject.org/files/ENCFF419PEK/@@download/ENCFF419PEK.bed.gz
ENCFF516QUC	GM23338	POLR2AphosphoS5	None	https://www.encodeproject.org/files/ENCFF516QUC/@@download/ENCFF516QUC.bed.gz
ENCFF131DDP	HepG2	SRSF1	None	https://www.encodeproject.org/files/ENCFF131DDP/@@download/ENCFF131DDP.bed.gz
ENCFF498MGH	K562	MAFF	None	https://www.encodeproject.org/files/ENCFF498MGH/@@download/ENCFF498MGH.bed.gz
ENCFF269RME	MCF-7	NRF1	None	https://www.encodeproject.org/files/ENCFF269RME/@@download/ENCFF269RME.bed.gz
ENCFF802JAN	K562	SIN3A	None	https://www.encodeproject.org/files/ENCFF802JAN/@@download/ENCFF802JAN.bed.gz
ENCFF418DKQ	HepG2	NRF1	None	https://www.encodeproject.org/files/ENCFF418DKQ/@@download/ENCFF418DKQ.bed.gz
ENCFF348HKK	HEK293	eGFP-ZFP3	None	https://www.encodeproject.org/files/ENCFF348HKK/@@download/ENCFF348HKK.bed.gz
ENCFF834NNK	HEK293	eGFP-ZNF518A	None	https://www.encodeproject.org/files/ENCFF834NNK/@@download/ENCFF834NNK.bed.gz
ENCFF562FMQ	HepG2	MNT	None	https://www.encodeproject.org/files/ENCFF562FMQ/@@download/ENCFF562FMQ.bed.gz
ENCFF929SUL	HEK293	eGFP-INSM2	None	https://www.encodeproject.org/files/ENCFF929SUL/@@download/ENCFF929SUL.bed.gz
ENCFF838LXI	MCF-7	RCOR1	None	https://www.encodeproject.org/files/ENCFF838LXI/@@download/ENCFF838LXI.bed.gz
ENCFF933WSP	H1-hESC	ZNF143	None	https://www.encodeproject.org/files/ENCFF933WSP/@@download/ENCFF933WSP.bed.gz
ENCFF856AUX	C4-2B	ZFX	None	https://www.encodeproject.org/files/ENCFF856AUX/@@download/ENCFF856AUX.bed.gz
ENCFF381VJM	HEK293	eGFP-ZNF843	None	https://www.encodeproject.org/files/ENCFF381VJM/@@download/ENCFF381VJM.bed.gz
ENCFF703NAE	K562	SMARCA4	None	https://www.encodeproject.org/files/ENCFF703NAE/@@download/ENCFF703NAE.bed.gz
ENCFF186JKG	K562	BCOR	None	https://www.encodeproject.org/files/ENCFF186JKG/@@download/ENCFF186JKG.bed.gz
ENCFF687OMH	K562	eGFP-ETS2	None	https://www.encodeproject.org/files/ENCFF687OMH/@@download/ENCFF687OMH.bed.gz
ENCFF685CMQ	K562	eGFP-PBX2	None	https://www.encodeproject.org/files/ENCFF685CMQ/@@download/ENCFF685CMQ.bed.gz
ENCFF599TWF	HepG2	GTF2F1	None	https://www.encodeproject.org/files/ENCFF599TWF/@@download/ENCFF599TWF.bed.gz
ENCFF246HKM	SK-N-SH	JUND	None	https://www.encodeproject.org/files/ENCFF246HKM/@@download/ENCFF246HKM.bed.gz
ENCFF560WFS	endothelial cell of umbilical vein	POLR2AphosphoS5	None	https://www.encodeproject.org/files/ENCFF560WFS/@@download/ENCFF560WFS.bed.gz
ENCFF817UEX	HEK293T	ZNF384	None	https://www.encodeproject.org/files/ENCFF817UEX/@@download/ENCFF817UEX.bed.gz
ENCFF730DLS	K562	POLR2A	interferon gamma	https://www.encodeproject.org/files/ENCFF730DLS/@@download/ENCFF730DLS.bed.gz
ENCFF004JFD	HEK293	eGFP-ZNF175	None	https://www.encodeproject.org/files/ENCFF004JFD/@@download/ENCFF004JFD.bed.gz
ENCFF658XME	MCF-7	MYC	None	https://www.encodeproject.org/files/ENCFF658XME/@@download/ENCFF658XME.bed.gz
ENCFF631BJV	HEK293	eGFP-ZNF580	None	https://www.encodeproject.org/files/ENCFF631BJV/@@download/ENCFF631BJV.bed.gz
ENCFF180BYN	erythroblast	GATA1	None	https://www.encodeproject.org/files/ENCFF180BYN/@@download/ENCFF180BYN.bed.gz
ENCFF495PCJ	MCF-7	CREB1	None	https://www.encodeproject.org/files/ENCFF495PCJ/@@download/ENCFF495PCJ.bed.gz
ENCFF032CZR	HEK293	eGFP-ZNF391	None	https://www.encodeproject.org/files/ENCFF032CZR/@@download/ENCFF032CZR.bed.gz
ENCFF493TIR	HepG2	MAFF	None	https://www.encodeproject.org/files/ENCFF493TIR/@@download/ENCFF493TIR.bed.gz
ENCFF755HCK	K562	EP300	None	https://www.encodeproject.org/files/ENCFF755HCK/@@download/ENCFF755HCK.bed.gz
ENCFF626MUS	SH-SY5Y	GATA3	None	https://www.encodeproject.org/files/ENCFF626MUS/@@download/ENCFF626MUS.bed.gz
ENCFF797OWK	K562	CEBPZ	None	https://www.encodeproject.org/files/ENCFF797OWK/@@download/ENCFF797OWK.bed.gz
ENCFF587POH	GM12878	MTA2	None	https://www.encodeproject.org/files/ENCFF587POH/@@download/ENCFF587POH.bed.gz
ENCFF233DCN	HEK293	eGFP-ZBTB48	None	https://www.encodeproject.org/files/ENCFF233DCN/@@download/ENCFF233DCN.bed.gz
ENCFF187QQB	SK-N-SH	JUND	None	https://www.encodeproject.org/files/ENCFF187QQB/@@download/ENCFF187QQB.bed.gz
ENCFF295ZLM	GM12878	UBTF	None	https://www.encodeproject.org/files/ENCFF295ZLM/@@download/ENCFF295ZLM.bed.gz
ENCFF178PUI	GM10266	CTCF	None	https://www.encodeproject.org/files/ENCFF178PUI/@@download/ENCFF178PUI.bed.gz
ENCFF219KQD	HepG2	FLAG-GMEB2	None	https://www.encodeproject.org/files/ENCFF219KQD/@@download/ENCFF219KQD.bed.gz
ENCFF495PWL	GM12878	ATF7	None	https://www.encodeproject.org/files/ENCFF495PWL/@@download/ENCFF495PWL.bed.gz
ENCFF538VYU	GM12891	YY1	None	https://www.encodeproject.org/files/ENCFF538VYU/@@download/ENCFF538VYU.bed.gz
ENCFF526PMI	K562	ZMIZ1	None	https://www.encodeproject.org/files/ENCFF526PMI/@@download/ENCFF526PMI.bed.gz
ENCFF422HDN	H1-hESC	POLR2A	None	https://www.encodeproject.org/files/ENCFF422HDN/@@download/ENCFF422HDN.bed.gz
ENCFF996QGV	HEK293	eGFP-ZNF521	None	https://www.encodeproject.org/files/ENCFF996QGV/@@download/ENCFF996QGV.bed.gz
ENCFF500ABD	HEK293	eGFP-ZSCAN26	None	https://www.encodeproject.org/files/ENCFF500ABD/@@download/ENCFF500ABD.bed.gz
ENCFF832YIE	GM12878	BATF	None	https://www.encodeproject.org/files/ENCFF832YIE/@@download/ENCFF832YIE.bed.gz
ENCFF860DSJ	HEK293	eGFP-BCL11B	None	https://www.encodeproject.org/files/ENCFF860DSJ/@@download/ENCFF860DSJ.bed.gz
ENCFF519BOO	Ishikawa	NR3C1	ethanol	https://www.encodeproject.org/files/ENCFF519BOO/@@download/ENCFF519BOO.bed.gz
ENCFF546AYN	GM12878	CHD2	None	https://www.encodeproject.org/files/ENCFF546AYN/@@download/ENCFF546AYN.bed.gz
ENCFF804ZLF	HEK293	eGFP-ZNF777	None	https://www.encodeproject.org/files/ENCFF804ZLF/@@download/ENCFF804ZLF.bed.gz
ENCFF285QVL	HEK293	eGFP-CTCF	None	https://www.encodeproject.org/files/ENCFF285QVL/@@download/ENCFF285QVL.bed.gz
ENCFF306PBX	MCF-7	ZNF579	None	https://www.encodeproject.org/files/ENCFF306PBX/@@download/ENCFF306PBX.bed.gz
ENCFF710ROZ	GM12878	KAT2A	None	https://www.encodeproject.org/files/ENCFF710ROZ/@@download/ENCFF710ROZ.bed.gz
ENCFF711TXI	K562	KMT2B	None	https://www.encodeproject.org/files/ENCFF711TXI/@@download/ENCFF711TXI.bed.gz
ENCFF373VEK	HEK293	eGFP-MAZ	None	https://www.encodeproject.org/files/ENCFF373VEK/@@download/ENCFF373VEK.bed.gz
ENCFF978XMG	HEK293	eGFP-ZNF16	None	https://www.encodeproject.org/files/ENCFF978XMG/@@download/ENCFF978XMG.bed.gz
ENCFF216ALU	HEK293	eGFP-ZNF24	None	https://www.encodeproject.org/files/ENCFF216ALU/@@download/ENCFF216ALU.bed.gz
ENCFF311IXZ	HEK293	eGFP-ZNF423	None	https://www.encodeproject.org/files/ENCFF311IXZ/@@download/ENCFF311IXZ.bed.gz
ENCFF359FVQ	HEK293	eGFP-ZNF140	None	https://www.encodeproject.org/files/ENCFF359FVQ/@@download/ENCFF359FVQ.bed.gz
ENCFF447UZC	22Rv1	ZFX	None	https://www.encodeproject.org/files/ENCFF447UZC/@@download/ENCFF447UZC.bed.gz
ENCFF671QBO	HepG2	SFPQ	None	https://www.encodeproject.org/files/ENCFF671QBO/@@download/ENCFF671QBO.bed.gz
ENCFF952YDR	K562	PHF8	None	https://www.encodeproject.org/files/ENCFF952YDR/@@download/ENCFF952YDR.bed.gz
ENCFF245UXM	H1-hESC	CHD2	None	https://www.encodeproject.org/files/ENCFF245UXM/@@download/ENCFF245UXM.bed.gz
ENCFF270KRH	HEK293	eGFP-ZEB2	None	https://www.encodeproject.org/files/ENCFF270KRH/@@download/ENCFF270KRH.bed.gz
ENCFF464QAL	MCF-7	MBD2	None	https://www.encodeproject.org/files/ENCFF464QAL/@@download/ENCFF464QAL.bed.gz
ENCFF784QUI	HEK293	eGFP-OSR2	None	https://www.encodeproject.org/files/ENCFF784QUI/@@download/ENCFF784QUI.bed.gz
ENCFF789ZAT	erythroblast	GATA1	None	https://www.encodeproject.org/files/ENCFF789ZAT/@@download/ENCFF789ZAT.bed.gz
ENCFF955AOD	K562	KDM4B	None	https://www.encodeproject.org/files/ENCFF955AOD/@@download/ENCFF955AOD.bed.gz
ENCFF893SCL	K562	MAFK	None	https://www.encodeproject.org/files/ENCFF893SCL/@@download/ENCFF893SCL.bed.gz
ENCFF652HBV	HEK293	eGFP-ZNF792	None	https://www.encodeproject.org/files/ENCFF652HBV/@@download/ENCFF652HBV.bed.gz
ENCFF050CYK	GM12878	SIN3A	None	https://www.encodeproject.org/files/ENCFF050CYK/@@download/ENCFF050CYK.bed.gz
ENCFF482CYW	HEK293	eGFP-ZNF341	None	https://www.encodeproject.org/files/ENCFF482CYW/@@download/ENCFF482CYW.bed.gz
ENCFF507QUV	HEK293	eGFP-ZNF300	None	https://www.encodeproject.org/files/ENCFF507QUV/@@download/ENCFF507QUV.bed.gz
ENCFF676BIG	GM12878	ZNF207	None	https://www.encodeproject.org/files/ENCFF676BIG/@@download/ENCFF676BIG.bed.gz
ENCFF708ACK	MCF-7	HSF1	None	https://www.encodeproject.org/files/ENCFF708ACK/@@download/ENCFF708ACK.bed.gz
ENCFF576BGV	HEK293	eGFP-ZNF547	None	https://www.encodeproject.org/files/ENCFF576BGV/@@download/ENCFF576BGV.bed.gz
ENCFF868TRF	HEK293	eGFP-KLF9	None	https://www.encodeproject.org/files/ENCFF868TRF/@@download/ENCFF868TRF.bed.gz
ENCFF905VZD	H1-hESC	SIN3A	None	https://www.encodeproject.org/files/ENCFF905VZD/@@download/ENCFF905VZD.bed.gz
ENCFF496RVC	MCF-7	ZBTB11	None	https://www.encodeproject.org/files/ENCFF496RVC/@@download/ENCFF496RVC.bed.gz
ENCFF736GHL	HepG2	BRD4	None	https://www.encodeproject.org/files/ENCFF736GHL/@@download/ENCFF736GHL.bed.gz
ENCFF740OPF	K562	RAD51	None	https://www.encodeproject.org/files/ENCFF740OPF/@@download/ENCFF740OPF.bed.gz
ENCFF796VMI	K562	KDM1A	None	https://www.encodeproject.org/files/ENCFF796VMI/@@download/ENCFF796VMI.bed.gz
ENCFF604AZX	GM12878	IRF3	None	https://www.encodeproject.org/files/ENCFF604AZX/@@download/ENCFF604AZX.bed.gz
ENCFF641DWM	GM12878	WHSC1	None	https://www.encodeproject.org/files/ENCFF641DWM/@@download/ENCFF641DWM.bed.gz
ENCFF827YPG	HEK293	eGFP-ZBTB49	None	https://www.encodeproject.org/files/ENCFF827YPG/@@download/ENCFF827YPG.bed.gz
ENCFF550TDM	GM12878	CTBP1	None	https://www.encodeproject.org/files/ENCFF550TDM/@@download/ENCFF550TDM.bed.gz
ENCFF419WTZ	K562	eGFP-ATF3	None	https://www.encodeproject.org/files/ENCFF419WTZ/@@download/ENCFF419WTZ.bed.gz
ENCFF958TTM	HEK293	eGFP-ZNF195	None	https://www.encodeproject.org/files/ENCFF958TTM/@@download/ENCFF958TTM.bed.gz
ENCFF493PRB	H1-hESC	GTF2F1	None	https://www.encodeproject.org/files/ENCFF493PRB/@@download/ENCFF493PRB.bed.gz
ENCFF320REA	neural progenitor cell	EZH2phosphoT487	None	https://www.encodeproject.org/files/ENCFF320REA/@@download/ENCFF320REA.bed.gz
ENCFF830TFU	GM12878	TRIM22	None	https://www.encodeproject.org/files/ENCFF830TFU/@@download/ENCFF830TFU.bed.gz
ENCFF791JWI	K562	eGFP-ZNF83	None	https://www.encodeproject.org/files/ENCFF791JWI/@@download/ENCFF791JWI.bed.gz
ENCFF684WPJ	HEK293	eGFP-ZNF488	None	https://www.encodeproject.org/files/ENCFF684WPJ/@@download/ENCFF684WPJ.bed.gz
ENCFF145USV	HEK293	eGFP-ZNF2	None	https://www.encodeproject.org/files/ENCFF145USV/@@download/ENCFF145USV.bed.gz
ENCFF672LKL	HeLa-S3	MAFF	None	https://www.encodeproject.org/files/ENCFF672LKL/@@download/ENCFF672LKL.bed.gz
ENCFF625IUE	MCF-7	GATA3	None	https://www.encodeproject.org/files/ENCFF625IUE/@@download/ENCFF625IUE.bed.gz
ENCFF514RIE	HEK293	eGFP-SALL1	None	https://www.encodeproject.org/files/ENCFF514RIE/@@download/ENCFF514RIE.bed.gz
ENCFF473AGH	HEK293	eGFP-HIC1	None	https://www.encodeproject.org/files/ENCFF473AGH/@@download/ENCFF473AGH.bed.gz
ENCFF316CBQ	A549	KDM1A	None	https://www.encodeproject.org/files/ENCFF316CBQ/@@download/ENCFF316CBQ.bed.gz
ENCFF808NWU	K562	ZEB2	None	https://www.encodeproject.org/files/ENCFF808NWU/@@download/ENCFF808NWU.bed.gz
ENCFF946YUA	T47D	JUND	None	https://www.encodeproject.org/files/ENCFF946YUA/@@download/ENCFF946YUA.bed.gz
ENCFF483BRD	K562	KDM1A	None	https://www.encodeproject.org/files/ENCFF483BRD/@@download/ENCFF483BRD.bed.gz
ENCFF969BZA	HepG2	IKZF1	None	https://www.encodeproject.org/files/ENCFF969BZA/@@download/ENCFF969BZA.bed.gz
ENCFF383HAY	GM12878	BCL11A	None	https://www.encodeproject.org/files/ENCFF383HAY/@@download/ENCFF383HAY.bed.gz
ENCFF105VHD	MCF-7	EZH2	None	https://www.encodeproject.org/files/ENCFF105VHD/@@download/ENCFF105VHD.bed.gz
ENCFF863ATX	HepG2	BHLHE40	None	https://www.encodeproject.org/files/ENCFF863ATX/@@download/ENCFF863ATX.bed.gz
ENCFF420KMT	mammary epithelial cell	EZH2	None	https://www.encodeproject.org/files/ENCFF420KMT/@@download/ENCFF420KMT.bed.gz
ENCFF622HGF	GM12878	BHLHE40	None	https://www.encodeproject.org/files/ENCFF622HGF/@@download/ENCFF622HGF.bed.gz
ENCFF855XBY	HEK293	eGFP-GLIS2	None	https://www.encodeproject.org/files/ENCFF855XBY/@@download/ENCFF855XBY.bed.gz
ENCFF572OEF	HEK293	eGFP-WT1	None	https://www.encodeproject.org/files/ENCFF572OEF/@@download/ENCFF572OEF.bed.gz
ENCFF756AYX	HEK293	eGFP-PRDM4	None	https://www.encodeproject.org/files/ENCFF756AYX/@@download/ENCFF756AYX.bed.gz
ENCFF901CWB	HEK293	eGFP-ZNF239	None	https://www.encodeproject.org/files/ENCFF901CWB/@@download/ENCFF901CWB.bed.gz
ENCFF192QEG	HEK293	eGFP-ZNF433	None	https://www.encodeproject.org/files/ENCFF192QEG/@@download/ENCFF192QEG.bed.gz
ENCFF542GMN	A549	MYC	None	https://www.encodeproject.org/files/ENCFF542GMN/@@download/ENCFF542GMN.bed.gz
ENCFF354MJU	K562	eGFP-NFE2L1	None	https://www.encodeproject.org/files/ENCFF354MJU/@@download/ENCFF354MJU.bed.gz
ENCFF243PSJ	H1-hESC	TAF7	None	https://www.encodeproject.org/files/ENCFF243PSJ/@@download/ENCFF243PSJ.bed.gz
ENCFF587BJK	GM12878	BCLAF1	None	https://www.encodeproject.org/files/ENCFF587BJK/@@download/ENCFF587BJK.bed.gz
ENCFF010OOE	K562	HES1	None	https://www.encodeproject.org/files/ENCFF010OOE/@@download/ENCFF010OOE.bed.gz
ENCFF182YZG	K562	POLR2A	None	https://www.encodeproject.org/files/ENCFF182YZG/@@download/ENCFF182YZG.bed.gz
ENCFF300OKR	MCF-7	MYC	None	https://www.encodeproject.org/files/ENCFF300OKR/@@download/ENCFF300OKR.bed.gz
ENCFF829NNC	HEK293T	ZFX	None	https://www.encodeproject.org/files/ENCFF829NNC/@@download/ENCFF829NNC.bed.gz
ENCFF832OST	HEK293	eGFP-ZNF701	None	https://www.encodeproject.org/files/ENCFF832OST/@@download/ENCFF832OST.bed.gz
ENCFF416DAC	K562	DROSHA	None	https://www.encodeproject.org/files/ENCFF416DAC/@@download/ENCFF416DAC.bed.gz
ENCFF862DXR	HepG2	CEBPB	None	https://www.encodeproject.org/files/ENCFF862DXR/@@download/ENCFF862DXR.bed.gz
ENCFF900NVQ	K562	MAX	None	https://www.encodeproject.org/files/ENCFF900NVQ/@@download/ENCFF900NVQ.bed.gz
ENCFF508JRB	MCF-7	PPP1R10	None	https://www.encodeproject.org/files/ENCFF508JRB/@@download/ENCFF508JRB.bed.gz
ENCFF452VLA	MCF-7	TRIM22	None	https://www.encodeproject.org/files/ENCFF452VLA/@@download/ENCFF452VLA.bed.gz
ENCFF968NOG	GM12878	IKZF1	None	https://www.encodeproject.org/files/ENCFF968NOG/@@download/ENCFF968NOG.bed.gz
ENCFF814DAF	A549	HDAC2	None	https://www.encodeproject.org/files/ENCFF814DAF/@@download/ENCFF814DAF.bed.gz
ENCFF721NEC	HepG2	ZKSCAN1	None	https://www.encodeproject.org/files/ENCFF721NEC/@@download/ENCFF721NEC.bed.gz
ENCFF088OLI	GM12878	IKZF2	None	https://www.encodeproject.org/files/ENCFF088OLI/@@download/ENCFF088OLI.bed.gz
ENCFF497YNJ	H1-hESC	HDAC2	None	https://www.encodeproject.org/files/ENCFF497YNJ/@@download/ENCFF497YNJ.bed.gz
ENCFF666PCE	K562	RBBP5	None	https://www.encodeproject.org/files/ENCFF666PCE/@@download/ENCFF666PCE.bed.gz
ENCFF434OEY	B cell	EZH2	None	https://www.encodeproject.org/files/ENCFF434OEY/@@download/ENCFF434OEY.bed.gz
ENCFF765NAN	K562	FOXA1	None	https://www.encodeproject.org/files/ENCFF765NAN/@@download/ENCFF765NAN.bed.gz
ENCFF305WYD	HepG2	RBM22	None	https://www.encodeproject.org/files/ENCFF305WYD/@@download/ENCFF305WYD.bed.gz
ENCFF199OOU	A549	EHMT2	None	https://www.encodeproject.org/files/ENCFF199OOU/@@download/ENCFF199OOU.bed.gz
ENCFF110EOX	A549	RNF2	None	https://www.encodeproject.org/files/ENCFF110EOX/@@download/ENCFF110EOX.bed.gz
ENCFF847DXY	GM12878	POLR2AphosphoS2	None	https://www.encodeproject.org/files/ENCFF847DXY/@@download/ENCFF847DXY.bed.gz
ENCFF674QCU	HepG2	EP300	None	https://www.encodeproject.org/files/ENCFF674QCU/@@download/ENCFF674QCU.bed.gz
ENCFF197ABX	GM12878	IKZF1	None	https://www.encodeproject.org/files/ENCFF197ABX/@@download/ENCFF197ABX.bed.gz
ENCFF266OPF	K562	POLR2AphosphoS2	None	https://www.encodeproject.org/files/ENCFF266OPF/@@download/ENCFF266OPF.bed.gz
ENCFF959TZW	HEK293T	FOXK2	None	https://www.encodeproject.org/files/ENCFF959TZW/@@download/ENCFF959TZW.bed.gz
ENCFF078OUD	K562	TAL1	None	https://www.encodeproject.org/files/ENCFF078OUD/@@download/ENCFF078OUD.bed.gz
ENCFF321KQD	K562	CEBPB	None	https://www.encodeproject.org/files/ENCFF321KQD/@@download/ENCFF321KQD.bed.gz
ENCFF359XJQ	HEK293	eGFP-ZNF680	None	https://www.encodeproject.org/files/ENCFF359XJQ/@@download/ENCFF359XJQ.bed.gz
ENCFF915LKZ	A549	POLR2A	dexamethasone	https://www.encodeproject.org/files/ENCFF915LKZ/@@download/ENCFF915LKZ.bed.gz
ENCFF831DRU	HEK293	eGFP-ZNF112	None	https://www.encodeproject.org/files/ENCFF831DRU/@@download/ENCFF831DRU.bed.gz
ENCFF618YRQ	K562	HDAC2	None	https://www.encodeproject.org/files/ENCFF618YRQ/@@download/ENCFF618YRQ.bed.gz
ENCFF134HBP	K562	U2AF2	None	https://www.encodeproject.org/files/ENCFF134HBP/@@download/ENCFF134HBP.bed.gz
ENCFF732VAU	HEK293	eGFP-ZBTB20	None	https://www.encodeproject.org/files/ENCFF732VAU/@@download/ENCFF732VAU.bed.gz
ENCFF603BID	GM12878	HSF1	None	https://www.encodeproject.org/files/ENCFF603BID/@@download/ENCFF603BID.bed.gz
ENCFF859MBC	HepG2	RAD51	None	https://www.encodeproject.org/files/ENCFF859MBC/@@download/ENCFF859MBC.bed.gz
ENCFF572OWY	K562	eGFP-ZFX	None	https://www.encodeproject.org/files/ENCFF572OWY/@@download/ENCFF572OWY.bed.gz
ENCFF256CVB	K562	eGFP-ELF1	None	https://www.encodeproject.org/files/ENCFF256CVB/@@download/ENCFF256CVB.bed.gz
ENCFF605WXD	K562	MYC	interferon gamma	https://www.encodeproject.org/files/ENCFF605WXD/@@download/ENCFF605WXD.bed.gz
